1486748799:  Terminal ready
1486748897:    OK
1486753218:  <rlca,rrca,rla,rra>...........  OK
1486753218:  shf/rot (<ix,iy>+1)...........  ERROR **** crc expected:713acd81 found:cb288fcc
1486753227:  shf/rot <b,c,d,e,h,l,(hl),a>..  ERROR **** crc expected:eb604d58 found:fac70e40
1486753235:  <set,res> n,<bcdehl(hl)a>.....  OK
1486753236:  <set,res> n,(<ix,iy>+1).......  OK
1486753237:  ld (<ix,iy>+1),<b,c,d,e>......  OK
1486753237:  ld (<ix,iy>+1),<h,l>..........  OK
1486753237:  ld (<ix,iy>+1),a..............  OK
1486753237:  ld (<bc,de>),a................  OK
1486753238:  Tests completeZ80 instruction exerciser
1486753346:  <adc,sbc> hl,<bc,de,hl,sp>....  OK
1486753399:  add hl,<bc,de,hl,sp>..........  OK
1486753453:  add ix,<bc,de,ix,sp>..........  OK
1486753507:  add iy,<bc,de,iy,sp>..........  OK
1486753534:  aluop a,nn....................  OK
1486754485:  aluop a,<b,c,d,e,h,l,(hl),a>..  OK
1486754970:  aluop a,<ixh,ixl,iyh,iyl>.....  OK
1486755214:  aluop a,(<ix,iy>+1)...........  OK
1486755216:  bit n,(<ix,iy>+1).............  OK
1486755278:  bit n,<b,c,d,e,h,l,(hl),a>....  OK
1486755290:  cpd<r>........................  OK
1486755302:  cpi<r>........................  OK
1486755354:  <daa,cpl,scf,ccf>.............  OK
1486755357:  <inc,dec> a...................  OK
1486755360:  <inc,dec> b...................  OK
1486755361:  <inc,dec> bc..................  OK
1486755364:  <inc,dec> c...................  OK
1486755367:  <inc,dec> d...................  OK
1486755368:  <inc,dec> de..................  OK
1486755371:  <inc,dec> e...................  OK
1486755374:  <inc,dec> h...................  OK
1486755375:  <inc,dec> hl..................  OK
1486755377:  <inc,dec> ix..................  OK
1486755378:  <inc,dec> iy..................  OK
1486755381:  <inc,dec> l...................  OK
1486755384:  <inc,dec> (hl)................  OK
1486755385:  <inc,dec> sp..................  OK
1486755391:  <inc,dec> (<ix,iy>+1).........  OK
1486755394:  <inc,dec> ixh.................  OK
1486755397:  <inc,dec> ixl.................  OK
1486755400:  <inc,dec> iyh.................  OK
1486755402:  <inc,dec> iyl.................  OK
1486755402:  ld <bc,de>,(nnnn).............  OK
1486755403:  ld hl,(nnnn)..................  OK
1486755403:  ld sp,(nnnn)..................  OK
1486755403:  ld <ix,iy>,(nnnn).............  OK
1486755403:  ld (nnnn),<bc,de>.............  OK
1486755403:  ld (nnnn),hl..................  OK
1486755403:  ld (nnnn),sp..................  OK
1486755403:  ld (nnnn),<ix,iy>.............  OK
1486755403:  ld <bc,de,hl,sp>,nnnn.........  OK
1486755403:  ld <ix,iy>,nnnn...............  OK
1486755403:  ld a,<(bc),(de)>..............  OK
1486755403:  ld <b,c,d,e,h,l,(hl),a>,nn....  OK
1486755403:  ld (<ix,iy>+1),nn.............  OK
1486755403:  ld <b,c,d,e>,(<ix,iy>+1)......  OK
1486755404:  ld <h,l>,(<ix,iy>+1)..........  OK
1486755404:  ld a,(<ix,iy>+1)..............  OK
1486755404:  ld <ixh,ixl,iyh,iyl>,nn.......  OK
1486755408:  ld <bcdehla>,<bcdehla>........  OK
1486755417:  ld <bcdexya>,<bcdexya>........  OK
1486755417:  ld a,(nnnn) / ld (nnnn),a.....  OK
1486755417:  ldd<r> (1)....................  OK
1486755417:  ldd<r> (2)....................  OK
1486755417:  ldi<r> (1)....................  OK
1486755417:  ldi<r> (2)....................  OK
1486755430:  neg...........................  OK
1486755436:  <rrd,rld>.....................  OK
1486755442:  <rlca,rrca,rla,rra>...........  OK
1486755443:  shf/rot (<ix,iy>+1)...........  ERROR **** crc expected:713acd81 found:cb288fcc
1486755451:  shf/rot <b,c,d,e,h,l,(hl),a>..  ERROR **** crc expected:eb604d58 found:fac70e40
1486755460:  <set,res> n,<bcdehl(hl)a>.....  OK
1486755460:  <set,res> n,(<ix,iy>+1).......  OK
1486755462:  ld (<ix,iy>+1),<b,c,d,e>......  OK
1486755462:  ld (<ix,iy>+1),<h,l>..........  OK
1486755462:  ld (<ix,iy>+1),a..............  OK
1486755462:  ld (<bc,de>),a................  OK
1486755462:  Tests completeZ80 instruction exerciser
1486755570:  <adc,sbc> hl,<bc,de,hl,sp>....  OK
1486755624:  add hl,<bc,de,hl,sp>..........  OK
1486755677:  add ix,<bc,de,ix,sp>..........  OK
1486755731:  add iy,<bc,de,iy,sp>..........  OK
1486755758:  aluop a,nn....................  OK
1486756709:  aluop a,<b,c,d,e,h,l,(hl),a>..  OK
1486757194:  aluop a,<ixh,ixl,iyh,iyl>.....  OK
1486757439:  aluop a,(<ix,iy>+1)...........  OK
1486757441:  bit n,(<ix,iy>+1).............  OK
1486757502:  bit n,<b,c,d,e,h,l,(hl),a>....  OK
1486757514:  cpd<r>........................  OK
1486757526:  cpi<r>........................  OK
1486757578:  <daa,cpl,scf,ccf>.............  OK
1486757581:  <inc,dec> a...................  OK
1486757584:  <inc,dec> b...................  OK
1486757585:  <inc,dec> bc..................  OK
1486757588:  <inc,dec> c...................  OK
1486757591:  <inc,dec> d...................  OK
1486757592:  <inc,dec> de..................  OK
1486757595:  <inc,dec> e...................  OK
1486757598:  <inc,dec> h...................  OK
1486757600:  <inc,dec> hl..................  OK
1486757601:  <inc,dec> ix..................  OK
1486757603:  <inc,dec> iy..................  OK
1486757605:  <inc,dec> l...................  OK
1486757608:  <inc,dec> (hl)................  OK
1486757610:  <inc,dec> sp..................  OK
1486757615:  <inc,dec> (<ix,iy>+1).........  OK
1486757618:  <inc,dec> ixh.................  OK
1486757621:  <inc,dec> ixl.................  OK
1486757624:  <inc,dec> iyh.................  OK
1486757627:  <inc,dec> iyl.................  OK
1486757627:  ld <bc,de>,(nnnn).............  OK
1486757627:  ld hl,(nnnn)..................  OK
1486757627:  ld sp,(nnnn)..................  OK
1486757627:  ld <ix,iy>,(nnnn).............  OK
1486757627:  ld (nnnn),<bc,de>.............  OK
1486757627:  ld (nnnn),hl..................  OK
1486757627:  ld (nnnn),sp..................  OK
1486757627:  ld (nnnn),<ix,iy>.............  OK
1486757627:  ld <bc,de,hl,sp>,nnnn.........  OK
1486757627:  ld <ix,iy>,nnnn...............  OK
1486757627:  ld a,<(bc),(de)>..............  OK
1486757627:  ld <b,c,d,e,h,l,(hl),a>,nn....  OK
1486757627:  ld (<ix,iy>+1),nn.............  OK
1486757628:  ld <b,c,d,e>,(<ix,iy>+1)......  OK
1486757628:  ld <h,l>,(<ix,iy>+1)..........  OK
1486757628:  ld a,(<ix,iy>+1)..............  OK
1486757628:  ld <ixh,ixl,iyh,iyl>,nn.......  OK
1486757633:  ld <bcdehla>,<bcdehla>........  OK
1486757641:  ld <bcdexya>,<bcdexya>........  OK
1486757642:  ld a,(nnnn) / ld (nnnn),a.....  OK
1486757642:  ldd<r> (1)....................  OK
1486757642:  ldd<r> (2)....................  OK
1486757642:  ldi<r> (1)....................  OK
1486757642:  ldi<r> (2)....................  OK
1486757654:  neg...........................  OK
1486757661:  <rrd,rld>.....................  OK
1486757666:  <rlca,rrca,rla,rra>...........  OK
1486757667:  shf/rot (<ix,iy>+1)...........  ERROR **** crc expected:713acd81 found:cb288fcc
1486757676:  shf/rot <b,c,d,e,h,l,(hl),a>..  ERROR **** crc expected:eb604d58 found:fac70e40
1486757684:  <set,res> n,<bcdehl(hl)a>.....  OK
1486757685:  <set,res> n,(<ix,iy>+1).......  OK
1486757686:  ld (<ix,iy>+1),<b,c,d,e>......  OK
1486757686:  ld (<ix,iy>+1),<h,l>..........  OK
1486757686:  ld (<ix,iy>+1),a..............  OK
1486757686:  ld (<bc,de>),a................  OK
1486757687:  Tests completeZ80 instruction exerciser
1486757794:  <adc,sbc> hl,<bc,de,hl,sp>....  OK
1486757848:  add hl,<bc,de,hl,sp>..........  OK
1486757902:  add ix,<bc,de,ix,sp>..........  OK
1486757956:  add iy,<bc,de,iy,sp>..........  OK
1486757983:  aluop a,nn....................  OK
1486758934:  aluop a,<b,c,d,e,h,l,(hl),a>..  OK
1486759418:  aluop a,<ixh,ixl,iyh,iyl>.....  OK
1486759663:  aluop a,(<ix,iy>+1)...........  OK
1486759665:  bit n,(<ix,iy>+1).............  OK
1486759726:  bit n,<b,c,d,e,h,l,(hl),a>....  OK
1486759738:  cpd<r>........................  OK
1486759750:  cpi<r>........................  OK
1486759803:  <daa,cpl,scf,ccf>.............  OK
1486759806:  <inc,dec> a...................  OK
1486759808:  <inc,dec> b...................  OK
1486759810:  <inc,dec> bc..................  OK
1486759813:  <inc,dec> c...................  OK
1486759816:  <inc,dec> d...................  OK
1486759817:  <inc,dec> de..................  OK
1486759820:  <inc,dec> e...................  OK
1486759823:  <inc,dec> h...................  OK
1486759824:  <inc,dec> hl..................  OK
1486759826:  <inc,dec> ix..................  OK
1486759827:  <inc,dec> iy..................  OK
1486759830:  <inc,dec> l...................  OK
1486759833:  <inc,dec> (hl)................  OK
1486759834:  <inc,dec> sp..................  OK
1486759840:  <inc,dec> (<ix,iy>+1).........  OK
1486759843:  <inc,dec> ixh.................  OK
1486759846:  <inc,dec> ixl.................  OK
1486759848:  <inc,dec> iyh.................  OK
1486759851:  <inc,dec> iyl.................  OK
1486759851:  ld <bc,de>,(nnnn).............  OK
1486759851:  ld hl,(nnnn)..................  OK
1486759852:  ld sp,(nnnn)..................  OK
1486759852:  ld <ix,iy>,(nnnn).............  OK
1486759852:  ld (nnnn),<bc,de>.............  OK
1486759852:  ld (nnnn),hl..................  OK
1486759852:  ld (nnnn),sp..................  OK
1486759852:  ld (nnnn),<ix,iy>.............  OK
1486759852:  ld <bc,de,hl,sp>,nnnn.........  OK
1486759852:  ld <ix,iy>,nnnn...............  OK
1486759852:  ld a,<(bc),(de)>..............  OK
1486759852:  ld <b,c,d,e,h,l,(hl),a>,nn....  OK
1486759852:  ld (<ix,iy>+1),nn.............  OK
1486759852:  ld <b,c,d,e>,(<ix,iy>+1)......  OK
1486759853:  ld <h,l>,(<ix,iy>+1)..........  OK
1486759853:  ld a,(<ix,iy>+1)..............  OK
1486759853:  ld <ixh,ixl,iyh,iyl>,nn.......  OK
1486759857:  ld <bcdehla>,<bcdehla>........  OK
1486759866:  ld <bcdexya>,<bcdexya>........  OK
